game_id,steam_appid,title,developer,publisher,release_date_raw,release_date,is_free,base_price_usd,current_price_usd,discount_pct_usd,base_price_eur,current_price_eur,discount_pct_eur,price_region_eur,price_retrieved,genres,steam_top_tags,platforms,review_count_total,review_count_all,review_bombed,review_positive_pct,review_desc,review_curve_coverage,curve_capture_pct,curve_first_week,reviews_start_week,pre_launch_reviews,steamspy_owners_est,retrieved_date
751780,751780,Forager,HopFrog,Balor Games,"Apr 18, 2019",2019-04-18,False,19.99,19.99,0,19.99,19.99,0,fi,2026-08-10,"Action, Adventure, Indie, Simulation","Open World Survival Craft, Survival, Pixel Graphics, Crafting, Indie, Farming Sim, Sandbox, 2D",windows,43916,43916,0,0.895,Very Positive,full,1.0,0,0,0,"1,000,000 .. 2,000,000",2026-08-10
1087760,1087760,The Gunk,Image & Form Games,Thunderful Publishing,"Apr 29, 2022",2022-04-29,False,24.99,24.99,0,24.99,24.99,0,fi,2026-08-10,"Action, Adventure","Action-Adventure, Atmospheric, Sci-fi, 3D Platformer, Family Friendly, Relaxing, Space, Female Protagonist",windows,5924,5924,0,0.865,Very Positive,full,1.0,0,0,0,"100,000 .. 200,000",2026-08-10
548430,548430,Deep Rock Galactic,Ghost Ship Games,Coffee Stain Publishing,"May 13, 2020",2020-05-13,False,29.99,29.99,0,29.99,29.99,0,fi,2026-08-10,Action,"Dwarf, Co-op, PvE, FPS, Procedural Generation, Class-Based, Shooter, Exploration",windows,378831,378831,0,0.971,Overwhelmingly Positive,full,1.0,-115,-115,34752,"5,000,000 .. 10,000,000",2026-08-10
105600,105600,Terraria,Re-Logic,Re-Logic,"May 16, 2011",2011-05-16,False,9.99,9.99,0,9.75,9.75,0,fi,2026-08-10,"Action, Adventure, Indie, RPG","Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Pixel Graphics, Crafting","windows, mac, linux",1543645,1543645,0,0.974,Overwhelmingly Positive,full,1.0,0,0,0,"20,000,000 .. 50,000,000",2026-08-10
892970,892970,Valheim,Iron Gate AB,Coffee Stain Publishing,"Feb 2, 2021",2021-02-02,False,29.99,29.99,0,29.99,29.99,0,fi,2026-08-10,"Action, Adventure, Indie, RPG, Early Access","Open World Survival Craft, Survival, Online Co-Op, Open World, Multiplayer, Building, Crafting, Base-Building","windows, mac, linux",539708,539708,0,0.94,Very Positive,full,1.0,0,0,0,"10,000,000 .. 20,000,000",2026-08-10
1167630,1167630,Teardown,Tuxedo Labs,Tuxedo Labs,"Apr 21, 2022",2022-04-21,False,29.99,29.99,0,29.99,29.99,0,fi,2026-08-10,"Action, Indie, Simulation, Strategy","Destruction, Physics, Sandbox, Voxel, First-Person, Singleplayer, Open World, Heist",windows,134426,134426,0,0.958,Overwhelmingly Positive,full,1.0,-77,-77,35356,"2,000,000 .. 5,000,000",2026-08-10
753640,753640,Outer Wilds,Mobius Digital,Annapurna Interactive,"Jun 18, 2020",2020-06-18,False,24.99,24.99,0,22.99,22.99,0,fi,2026-08-10,"Action, Adventure","Exploration, Space, Mystery, Story Rich, Adventure, Great Soundtrack, Atmospheric, Puzzle",windows,106268,106268,0,0.956,Overwhelmingly Positive,full,1.0,0,0,0,"1,000,000 .. 2,000,000",2026-08-10
1203620,1203620,Enshrouded,Keen Games GmbH,Keen Games GmbH,"Jan 24, 2024",2024-01-24,False,29.99,29.99,0,29.99,29.99,0,fi,2026-08-10,"Action, Adventure, Indie, RPG, Early Access","Open World, Survival, Base-Building, Multiplayer, Online Co-Op, Crafting, RPG, Adventure",windows,104321,104321,0,0.858,Very Positive,full,1.0,0,0,0,"2,000,000 .. 5,000,000",2026-08-10
962130,962130,Grounded,Obsidian Entertainment,Xbox Game Studios,"Sep 27, 2022",2022-09-27,False,39.99,39.99,0,39.99,39.99,0,fi,2026-08-10,"Action, Adventure","Survival, Multiplayer, Co-op, Open World Survival Craft, Base-Building, Crafting, Adventure, Open World",windows,95290,95290,0,0.897,Very Positive,full,1.0,-113,-113,35647,"2,000,000 .. 5,000,000",2026-08-10
1641960,1641960,Forever Skies,Far From Home,Far From Home,"Apr 14, 2025",2025-04-14,False,29.99,11.99,60,28.99,11.59,60,fi,2026-08-10,"Action, Adventure, Indie, Simulation","Singleplayer, Exploration, Co-op, Survival, Base-Building, Open World, Crafting, Adventure",windows,8839,8839,0,0.785,Mostly Positive,full,1.0,-95,-95,5562,"200,000 .. 500,000",2026-08-10
1159690,1159690,Voidtrain,HypeTrain Digital,HypeTrain Digital,"Nov 7, 2025",2025-11-07,False,29.99,29.99,0,29.99,29.99,0,fi,2026-08-10,"Action, Adventure, Indie, RPG, Simulation","Open World Survival Craft, Co-op, Survival, Multiplayer, Base-Building, Crafting, Open World, Online Co-Op",windows,9762,9762,0,0.737,Mostly Positive,full,1.0,-131,-131,6187,"200,000 .. 500,000",2026-08-10
251570,251570,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,"Jul 25, 2024",2024-07-25,False,44.99,44.99,0,43.99,43.99,0,fi,2026-08-10,"Action, Adventure, Indie, RPG, Simulation, Strategy","Survival, Zombies, Multiplayer, Open World, Open World Survival Craft, Base-Building, Post-apocalyptic, Voxel","windows, mac, linux",397897,407111,9214,0.873,Very Positive,full,1.0,-554,-554,318756,"10,000,000 .. 20,000,000",2026-08-10
427410,427410,Abiotic Factor,Deep Field Games,Playstack,"Jul 22, 2025",2025-07-22,False,34.99,34.99,0,33.99,33.99,0,fi,2026-08-10,"Action, Adventure, RPG, Simulation","Survival, Online Co-Op, Open World Survival Craft, Crafting, Base-Building, Early Access, Sci-fi, Co-op Campaign",windows,57982,57982,0,0.958,Overwhelmingly Positive,full,1.0,-64,-64,32311,"500,000 .. 1,000,000",2026-08-10
1374490,1374490,RuneScape: Dragonwilds,Jagex Ltd,"Jagex Ltd; H2 Interactive Co., Ltd.; Graph","Apr 15, 2025",2025-04-15,False,29.99,29.99,0,29.99,29.99,0,fi,2026-08-10,"Action, Adventure, RPG, Early Access","Open World, Survival, Open World Survival Craft, Multiplayer, Early Access, Co-op, Online Co-Op, Crafting",windows,28764,28764,0,0.812,Very Positive,full,1.0,0,0,0,"500,000 .. 1,000,000",2026-08-10
1645820,1645820,SurrounDead,Zurvivor,PlaySurrounDead,"Jun 24, 2022",2022-06-24,False,11.99,11.99,0,11.79,11.79,0,fi,2026-08-10,"Action, Adventure, Indie, RPG, Early Access","Zombies, Survival, Open World, Post-apocalyptic, RPG, Singleplayer, Exploration, Shooter",windows,26252,26252,0,0.915,Very Positive,full,1.0,0,0,0,"500,000 .. 1,000,000",2026-08-10
221100,221100,DayZ,Bohemia Interactive,Bohemia Interactive,"Dec 13, 2018",2018-12-13,False,49.99,49.99,0,47.99,47.99,0,fi,2026-08-10,"Action, Adventure, Massively Multiplayer","Survival, Open World, Online Co-Op, Zombies, Multiplayer, Post-apocalyptic, Shooter, PvP",windows,467163,467163,0,0.778,Mostly Positive,full,1.0,-261,-261,165706,"10,000,000 .. 20,000,000",2026-08-10
1149460,1149460,ICARUS,RocketWerkz,RocketWerkz,"Dec 3, 2021",2021-12-03,False,34.99,34.99,0,33.99,33.99,0,fi,2026-08-10,"Action, Adventure, Simulation","Survival, Open World Survival Craft, Multiplayer, Base-Building, Online Co-Op, Crafting, Open World, Exploration",windows,66988,66988,0,0.745,Mostly Positive,full,1.0,0,0,0,"500,000 .. 1,000,000",2026-08-10
1898300,1898300,ASKA,Sand Sailor Studio,Thunderful Publishing,"Jun 20, 2024",2024-06-20,False,24.99,24.99,0,24.99,24.99,0,fi,2026-08-10,"Adventure, Simulation, Strategy, Early Access","Early Access, Online Co-Op, Multiplayer, Crafting, Co-op, Singleplayer, Simulation, Open World Survival Craft",windows,12023,12025,2,0.798,Mostly Positive,full,1.0,0,0,0,"500,000 .. 1,000,000",2026-08-10
